student_id,firstname,lastname,email,points,rank
816024613,Meridel,Parlet,Meridel.Parlet@my.uwi.edu,150,1
816065936,Emery,Fearnall,Emery.Fearnall@my.uwi.edu,145,2
816060116,Bret,Fiander,Bret.Fiander@my.uwi.edu,140,3
816052689,Noel,Snoxall,Noel.Snoxall@my.uwi.edu,135,4
816056112,Franz,Harrod,Franz.Harrod@my.uwi.edu,130,5
816055876,Fan,Rowberry,Fan.Rowberry@my.uwi.edu,125,6
816083405,Brian,Maskall,Brian.Maskall@my.uwi.edu,120,7
816016858,Spike,Fenne,Spike.Fenne@my.uwi.edu,115,8
816003456,Burton,Roblin,Burton.Roblin@my.uwi.edu,110,9
816092892,Genia,Riggert,Genia.Riggert@my.uwi.edu,105,10
816079127,Elston,Lowder,Elston.Lowder@my.uwi.edu,100,11
816022404,Trudey,Bartens,Trudey.Bartens@my.uwi.edu,95,12
816031524,Valentine,Isherwood,Valentine.Isherwood@my.uwi.edu,90,13
816066168,Sylvia,Owain,Sylvia.Owain@my.uwi.edu,85,14
816097567,Filbert,Ingreda,Filbert.Ingreda@my.uwi.edu,80,15
816036226,Janella,Kinker,Janella.Kinker@my.uwi.edu,75,16
816000825,Annalise,Hold,Annalise.Hold@my.uwi.edu,70,17
816067929,Demetria,Cockill,Demetria.Cockill@my.uwi.edu,65,18
816070340,Shari,Boothby,Shari.Boothby@my.uwi.edu,60,19
816065809,Yolane,Prigg,Yolane.Prigg@my.uwi.edu,55,20
816094016,Mayer,Gomez,Mayer.Gomez@my.uwi.edu,50,21
816081108,Loria,Jewise,Loria.Jewise@my.uwi.edu,45,22
816031905,Datha,Mapam,Datha.Mapam@my.uwi.edu,40,23
816055416,Tynan,Yvon,Tynan.Yvon@my.uwi.edu,35,24
816056548,Morena,Brahmer,Morena.Brahmer@my.uwi.edu,30,25
816007305,Talyah,McMains,Talyah.McMains@my.uwi.edu,25,26
816017237,Prince,Ianittello,Prince.Ianittello@my.uwi.edu,20,27
816056399,Dona,Dilliway,Dona.Dilliway@my.uwi.edu,15,28
816037810,Kelli,Dun,Kelli.Dun@my.uwi.edu,10,29
816015293,Madison,Borrel,Madison.Borrel@my.uwi.edu,5,30
